dalal_1,dalal_2,dalal_3,dalal_4,dalal_5,dalal_6
0.999955414098154,0.999943934794106,0.732435536767146,0.103835423125808,0.0277823735912961,0.0277825134354768
0.999999791466063,0.999999798951777,0.733266877793253,0.218227661383981,1.33610457584837e-08,1.21120960745818e-08
8.07377846882948e-06,6.22273056231407e-06,0.813074938253572,0.854925501995268,0.999998775973495,0.999998885968138
0.758668999025379,0.262030190837319,0.0289764117909439,0.0082901569631856,0.0062635112381388,0.00626351009158963
0.999999779794757,0.999999774257841,0.73334719683739,0.21873772323013,3.87300995489039e-08,9.15930496758246e-08
0.999278715898572,0.997758420176785,0.731113566548181,0.217882394428112,1.59571154337849e-07,6.6815575553224e-08
0.999999680788628,0.99999965834358,0.733208845160438,0.218163386490705,6.71331790132071e-09,4.34501693033921e-09
9.76991824693618e-05,0.00010464046476367,0.267959003169252,0.779745253482486,0.999998423714406,0.999998649357312
0.000389299937081785,0.000378624829738264,0.261781591564898,0.781051804808382,0.99999888828898,0.999998981542681
0.999999790886609,0.99999979823709,0.733372650172097,0.218248686099128,4.37618274070362e-08,3.54603216282962e-08
0.999999792256513,0.999999799318542,0.733377723633601,0.218198292145055,5.11526698388718e-09,3.96701413459536e-09
0.999999394805859,0.999998587781865,0.733117819119627,0.217165231698275,1.07657485286817e-05,1.07554040603739e-05
5.66717587850319e-07,3.00342407948273e-07,0.26658871546299,0.781263427427904,0.723742771308243,0.245929655449602
0.0535223962447013,0.0213051844606139,0.0417643799522181,0.0259501590530472,0.0194818904805528,0.0194819612002658
0.999698307935115,0.999608783340922,0.732990882281786,0.2230079837555,4.72260468541276e-07,6.50878943016765e-07
3.63637592725603e-07,3.32700197679067e-07,0.266461296992641,0.780733189728977,0.999998903716193,0.999998995919534
0.999999783245198,0.999999787023105,0.733407674895924,0.218625636287865,4.06908693989089e-06,4.00011557003632e-06
